,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
sub_0035,11.31064928,1.224332747,1.216140975,3.927224642,3.534789718,3.727924819,4.205291621,1.478842984,10.7901107,10.63519874,1.130371773,13.8849031,9.413308161,7.118354408,15.81187627,10.60414297,8.553108502,1.945857994,8.318220758,6.100625759,0.955846738,4.047081412,4.430750008,0.359196692,0.541854716,0.564871541
sub_0036,10.99520055,1.173383888,1.148210637,4.070247336,3.957983399,3.296081379,3.622167956,1.908725394,8.950262974,8.999100879,0.914309579,12.05833791,8.863425724,7.037294968,13.39694555,9.635598518,6.646430377,2.457473642,10.2108251,9.726890549,0.894589015,3.887417438,3.848296862,0.296224059,0.452637448,0.457992039
sub_0037,9.825777806,1.322133119,1.465276443,3.179675185,3.57772192,3.468447774,3.843651898,1.709990992,9.66121833,9.307326684,1.061588995,14.72914492,10.01330552,6.576265987,14.349846,9.752688975,7.513755724,2.452155139,7.417418528,6.265264272,0.976594259,3.208619865,3.451703669,0.365207528,0.449484333,0.545989884
sub_0038,8.287929029,1.114669373,1.261358128,3.938069281,4.214092949,4.477103542,4.085772191,1.900670818,10.67013425,10.49294141,0.877127414,15.38029945,8.305986852,5.547651778,15.2609245,7.504739798,7.333389875,2.377079427,6.586579617,6.110466572,1.020551395,3.081016066,3.185842062,0.420170279,0.464794405,0.444717038
sub_0039,10.22028922,1.325411497,1.42739506,4.019914085,3.649644394,4.370985638,3.813705371,1.616257275,9.721488601,9.638596807,0.867762553,14.58332799,10.12144864,5.227246049,15.12774393,9.681247237,7.614456215,2.225177984,7.850709509,7.440776203,0.845835679,3.613670625,3.549644177,0.329233078,0.406638365,0.498690817
sub_0040,10.57975575,1.450117919,1.553790844,3.514016721,3.99901091,3.986745281,3.633783771,1.825198627,10.54447487,10.56482788,1.06003797,14.5343721,9.602857568,6.858668155,14.09814382,10.81762667,6.023190808,2.842447851,8.358442365,8.468659159,0.949710289,3.216413808,2.874903219,0.364625415,0.454386487,0.472811102
sub_0041,9.329378104,1.16757164,1.208323694,3.861467726,3.930426436,3.378701288,3.341218996,1.726378432,8.407550399,9.333174045,1.05698507,12.45700534,10.68186552,6.06800251,11.71809032,9.76434432,6.186265468,2.010691454,5.851630997,6.128810545,0.908215825,3.058813708,3.023172164,0.336794505,0.446170239,0.479892457
sub_0042,10.78075026,1.385713695,1.434797875,3.389658472,3.666338819,4.418001673,3.972944158,1.732154557,8.209932005,10.50809917,0.710588111,15.27600655,10.04801575,6.425985448,14.89354824,9.330276452,9.528322399,1.964092748,7.683218866,7.283037518,0.89895836,3.458476042,2.862124233,0.397587781,0.36267544,0.427068217
sub_0043,11.05949101,1.458834963,1.350136444,3.26536208,3.646162449,3.892354022,3.870265165,1.504828132,10.5981193,9.816657474,1.024688286,16.91187967,9.497026289,7.648363014,17.58690362,7.129831175,9.978713807,1.825014599,6.573781844,5.426610811,0.96605089,3.839225347,3.762426344,0.304521413,0.432915853,0.545812143
sub_0044,12.86991133,1.273043052,1.24231051,3.957638383,4.048605185,4.495958501,4.724980414,1.716208882,10.32694746,10.29612567,0.825184321,12.73223828,9.27716009,5.673259721,13.18479527,9.433507421,8.043130962,2.336302928,9.923442106,8.23612632,1.015472702,3.431364121,3.627291248,0.356532598,0.417413937,0.424396196
sub_0045,8.585629295,1.099867009,1.249829697,2.774384346,3.478144695,3.204342609,3.255106062,1.608239482,9.697008327,8.506197132,1.072832221,11.96337993,10.01229533,5.285773647,13.56901898,6.973615218,6.552698152,2.077642132,7.204393084,6.925976348,0.883168314,3.164336071,3.33795493,0.342134518,0.439795455,0.421639999
sub_0046,12.15877526,1.44893665,1.365801273,3.678637671,4.090366188,4.400022458,4.29122626,1.744196108,10.27679586,9.893514143,1.067508214,14.72521184,10.77587523,7.49953838,14.92776792,10.24596383,7.89225995,2.216121961,9.379645764,9.250752621,0.993276192,3.870812514,3.579586126,0.434097526,0.403728162,0.467233034
sub_0047,13.01641616,1.528907523,1.468355766,3.56582577,3.802241903,4.569078916,4.375198122,1.708389817,10.30507155,10.043712,1.347344942,14.50089922,10.2192092,6.837272314,13.50709466,8.649633764,8.048479683,2.459366582,11.1257723,10.92097643,0.976120751,3.947405178,3.902944897,0.415645155,0.458947677,0.507904507
sub_0048,10.28013201,1.616881654,1.849165992,4.748419774,4.171293532,4.812156947,4.74696992,2.089319063,12.01502354,13.04385507,0.976303683,16.30911343,9.652284949,8.976414096,18.0247316,10.92038049,8.107100352,2.823317718,7.94874941,7.390842994,1.029283858,3.986154835,4.298622508,0.47248383,0.493887562,0.526326144
sub_0049,9.956125449,1.1989356,1.424669199,3.467046996,3.733567817,3.617023598,3.450583893,1.620109544,10.57745936,10.71625669,1.036096393,13.25555777,9.968899104,5.675208094,13.81919976,8.747892237,7.017013154,2.04512517,5.006785351,4.770787732,0.920142999,3.68391831,3.75276927,0.440694995,0.477840365,0.534642749
sub_0052,10.4987427,1.081852582,1.153799768,3.821552989,4.069854193,4.385383508,4.014406337,1.844491805,9.345088873,9.581362893,0.865667005,12.57307476,8.831561911,7.346864709,13.33877212,9.145229006,7.076344046,2.325316311,9.453533943,9.403162139,0.975670075,3.824457634,3.603303189,0.407612972,0.442312872,0.452404876
sub_0053,11.20716633,1.183678533,1.16201994,3.908292579,4.250920913,3.434685693,3.644536776,1.684890962,9.042606258,8.739110732,1.136997382,12.34110472,9.907102036,6.351998132,13.02620062,8.727587633,7.093788693,2.330095166,9.486876077,9.200898025,0.837523595,3.663517516,3.650263605,0.378990881,0.483012499,0.460515456
sub_0054,8.532847923,1.219566662,1.282946707,3.845988208,4.08208548,4.590187609,4.377034016,1.766657491,12.00926794,12.28459491,0.918588219,12.9918835,8.429391604,8.554346242,14.21731563,10.43963308,9.180740202,2.598006225,8.582325627,6.702707458,1.111621918,4.297266043,4.389097036,0.370383705,0.511596835,0.525802028
